title,outlet,media_url,media_name,publish_date,url,language,date,debate_performance
"As a US attorney, I see fentanyl's horrifying toll up close. Congress must act now",Fox News,foxnews.com,foxnews.com,2026-08-19,https://www.foxnews.com/opinion/us-attorney-fentanyl-horrifying-toll-congress-must-act-now,en,2026-08-19,
Conservatives can fight the rise of socialism by defending the American family,Fox News,foxnews.com,foxnews.com,2026-08-19,https://www.foxnews.com/opinion/conservatives-fight-rise-socialism-defending-american-family,en,2026-08-19,
3 big questions to ask Mom and Dad before you make a major financial commitment,Fox News,foxnews.com,foxnews.com,2026-08-19,https://www.foxnews.com/opinion/3-big-questions-ask-mom-dad-before-major-financial-commitment,en,2026-08-19,
Trump’s wake-up call to Seoul,Politico,politico.com,politico.com,2026-08-19,https://news.google.com/rss/articles/CBMimgFBVV95cUxPQlJua0N6My1vSHlleXZ1Mk1yLXd4dWxuVGhvS09oVGJ3b3NkZjFmdEx2eVFQeHBVYWE4WERVZGpKT2tJY2hMT1I0ZHpqTGpKTy1mUDFJWFpXcFhJSFh6S0J3M2NjVzlYMV9QS0x5VHNkT0xFZTN3cjlubEtGRWpFSDJHLTJ4OVhLSWZLOHFEalJZVFp3bkMwdEJ3?oc=5,en,2026-08-19,
"Trump discloses 21,000 securities trades during first year in office",ABC News,abcnews.go.com,abcnews.go.com,2026-08-20,https://news.google.com/rss/articles/CBMioAFBVV95cUxNRXRKN3Z0andHTXp5WjRNQ2xkUjcxS2tCeHpfdG9EeFRpaGM1Q2IxZFM4akNkQm5IZkt6NnEwRFNsNUQ2VUpYaXdaQW5LZEFsNC1OcHhKNWczS0QxSDZ6RE9qbGFieUdvaHpsNldGczhQa1hTQjF2aGZiSl9wcUhlaENId0I5VWx1cGJFZ1NCM0IyY2M2LWtKRkVDX3I4WDYz0gGmAUFVX3lxTE9Dc2ZEcnpkNmxPUVphbjRJcnBpaGNsM0EyVXlsQTFwdmg3TWZXekcxSUR0cGp3RWttdU5NMkRFVkZlV280MHV1V0RQOWtrTzlLQTlRQkE5eGpXaF9Yajh2NC1ITkdqSmhYcFY2ZFlLeE9nTjFKWUdKaG12WDlVTzl3VWIxeTdJRldpOFpsbEdXM29abG1KejFLLWdnWVBBVEtXSHdtU2c?oc=5,en,2026-08-20,
Trump claims fallen soldiers said 'we cannot let Iran have a nuclear weapon',ABC News,abcnews.go.com,abcnews.go.com,2026-08-20,https://news.google.com/rss/articles/CBMipAFBVV95cUxNQjg5NHl4dWUyQ0JyWnVDQ2dkbHFxaGgycjRNcy1OYktOQXlaLUxqWk1aT2ZEdlVoWm9TakEwSXA3aTAwTmFjdXZOZEhHdzE2WVZOMzBXaHZvMU9FYzBqZ25Fb1hXbHBEdVcxWTZ6OG5xcmIzUEhhdkp3VEUxai11c09GZDctSVVaQUhsblhYUThGYWRwem91bE4yWU96QWJlcC1OMtIBqgFBVV95cUxQeDZUX3JYWnNEUjl0OXJpMmhodjg4TVFmbkg5UmxOMjdMRTFsOXVGUUFfbExtUWx6T1JOLTBBTDhwaTNMRzZ5REtCWHcyXzNjMlAyUU5yWlJpTkZwZnBJWXl1OXpBUGhMb1ZZd3dVNnhpbWQtVjc0U096VlVpM0d0dldmckpZVTZGVXd2VW02VnM1VWNyX3RwZGhpWU1jZ3hZWUxncGI1RW8xZw?oc=5,en,2026-08-20,
Trump accuses Democrats of 'trickery' over candidate with same name as Alaska Sen. Dan Sullivan,ABC News,abcnews.go.com,abcnews.go.com,2026-08-20,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPQjdGZjVxZndiVm1MakVaMlpuZ3FFOHEwX0pMYXBUdkllcmo1VkZyTWxTZnZ2OWlQOEtEQ0N1RXVoMlpwRmhHQjBuQ05JYmQ4RDFPbjVDTWZyUzQyWF81UW1INWx0QjdONFo4U0laLUpYZk92bnl6MFI2Y2tsR3JRckF6TEFndE9yRUI4YXdJNEpQVDZpc1lfY00zd3hMN1pZVS1Ra0NCbTdYQdIBrwFBVV95cUxNOUhjLWUxSlRnTzdEbENOak9zMFhUSmpWUWdVLVlyWUJxZEtzeDI2QWVDR210MnlGb1JONkx5cGFpdi1xMU51dWxEYU84WU5XYzFsc28tcHMtQ004S25YVHZPaFZfaEFENURLREQ3YU55ZC1SWUZWWE5Qbk9ZZ3Q3YnV6ZFBFTXlJU29mOFRQQURSejBXMmU5Q2JuS2tvZjlvS0lGaXhiZkw1UHJyR0JV?oc=5,en,2026-08-20,
Cook Political Report downgrades Finstad's reelection odds in Minnesota's 1st District,CBS News,cbsnews.com,cbsnews.com,2026-08-20,https://www.cbsnews.com/minnesota/news/minnesota-1st-district-jake-johnson-brad-finstad/,en,2026-08-20,
Coalition alleges companies are violating Maryland's new data privacy law,CBS News,cbsnews.com,cbsnews.com,2026-08-20,https://www.cbsnews.com/baltimore/news/maryland-data-privacy-law-violations/,en,2026-08-20,
"Trump threatens Iran with ""economic D-Day""",CBS News,cbsnews.com,cbsnews.com,2026-08-20,https://www.cbsnews.com/detroit/video/trump-threatens-iran-with-economic-d-day/,en,2026-08-20,
Trump claims North Korea has 57 nuclear weapons,CBS News,cbsnews.com,cbsnews.com,2026-08-20,https://www.cbsnews.com/video/trump-says-north-korea-has-57-nuclear-weapons/,en,2026-08-20,
Trump to rally with Darline Graham ahead of South Carolina Senate runoff,CBS News,cbsnews.com,cbsnews.com,2026-08-20,https://www.cbsnews.com/video/trump-to-rally-with-darline-graham-ahead-of-south-carolina-senate-runoff/,en,2026-08-20,
Michael Cohen hosts Trump on radio show,CBS News,cbsnews.com,cbsnews.com,2026-08-20,https://www.cbsnews.com/detroit/video/michael-cohen-hosts-trump-on-radio-show/,en,2026-08-20,
Maggie Haberman: People in Trump’s world are ‘not happy’ the President is reuniting with Michael Cohen,CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/politics/video/donald-trump-michael-cohen-maggie-haberman,en,2026-08-20,
Michael Cohen says no modern dispute has been more public than his feud with Trump,CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/politics/video/michael-cohen-trump-jackson-burr-digvid,en,2026-08-20,
"U.S. Navy considering renaming carrier slated to honor Black war hero, potentially switching it to Trump",CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/politics/video/u-s-navy-considering-renaming-carrier-slated-to-honor-black-war-hero-potentially-switching-it-to-trump,en,2026-08-20,
Michael Cohen says he’s submitted pardon application to Trump WH,CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/politics/video/michael-cohen-says-hes-submitted-pardon-application-to-trump-white-house-the-lead-jake-tapper,en,2026-08-20,
Questions grow over why Trump Cohen reunite after massive rift,CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/politics/video/ebof-lanny-davis-reacts-michael-cohen-donald-trump-interview,en,2026-08-20,
A Maryland community on edge as Trump targets Haitians for deportation,CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/politics/video/maryland-haitians-trump-deportation,en,2026-08-20,
Great nephew of Black WWII hero: ‘a shock’ to hear ship may be renamed,CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/politics/video/great-nephew-of-black-wwii-hero-a-shock-to-hear-ship-may-be-renamed-lcl,en,2026-08-20,
Michael Cohen on repairing his relationship with Trump: ‘Forgiveness does not require amnesia’,CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/politics/video/michael-cohen-on-repairing-his-relationship-with-trump-forgiveness-does-not-require-amnesia-the-lead-jake-tapper,en,2026-08-20,
Together again: Pres. Trump interviewed by man he once called a ‘rat’,CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/politics/video/ac360-trump-cohen-reunion,en,2026-08-20,
AI wealth fueling housing market frenzy in San Francisco,CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/business/video/ai-san-francisco-real-estate-market-didomenico-live-082004pseg2-cnni-business-fast,en,2026-08-20,
Geoff Duncan: ‘There are warning signs going off every which way’,CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/politics/video/geoff-duncan-there-are-warning-signs-going-off-every-which-way,en,2026-08-20,
"Trump’s new strategy, claiming Hormuz for US more | Military experts on Iran",CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/world/video/military-experts-82026-ytc,en,2026-08-20,
Michael Cohen on burying the hatchet with President Trump,CNN,cnn.com,cnn.com,2026-08-20,https://www.cnn.com/2026/08/20/politics/video/michael-cohen-on-burying-the-hatchet-with-president-trump-the-lead-jake-tapper,en,2026-08-20,
"Cambridge professor's death after resignation sparking dangerous calls for media censorship, scholar warns",Fox News,foxnews.com,foxnews.com,2026-08-20,https://www.foxnews.com/media/cambridge-professors-death-after-resignation-sparking-dangerous-calls-media-censorship-scholar-warns,en,2026-08-20,
Tea Party founder launches nationwide 'Data Center Revolt' against AI data center expansion,Fox News,foxnews.com,foxnews.com,2026-08-20,https://www.foxnews.com/media/tea-party-founder-launches-nationwide-data-center-revolt-against-ai-data-center-expansion,en,2026-08-20,
Fentanyl deaths plummet as White House points to Trump's sweeping crackdown and more top headlines,Fox News,foxnews.com,foxnews.com,2026-08-20,https://www.foxnews.com/us/fentanyl-deaths-plummet-white-house-points-trumps-sweeping-crackdown-more-top-headlines,en,2026-08-20,
EXCLUSIVE: Fentanyl deaths plunge 22% as Trump White House touts crackdown on deadly drug crisis,Fox News,foxnews.com,foxnews.com,2026-08-20,https://www.foxnews.com/politics/exclusive-fentanyl-deaths-plunge-22-trump-white-house-touts-crackdown-deadly-drug-crisis,en,2026-08-20,
"TPUSA school clash spirals into threats and outrage as mother denies touching, screaming at Indiana teen",Fox News,foxnews.com,foxnews.com,2026-08-20,https://www.foxnews.com/media/tpusa-school-clash-spirals-threats-outrage-mother-denies-touching-screaming-indiana-teen,en,2026-08-20,
The 24-hour American diner is vanishing — here's what's driving the decline,Fox News,foxnews.com,foxnews.com,2026-08-20,https://www.foxnews.com/food-drink/24-hour-american-diner-vanishing-heres-whats-driving-decline,en,2026-08-20,
Walmart mantiene expectativas cautelosas tras obtener el menor crecimiento de ventas en 6 años,Los Angeles Times,latimes.com,latimes.com,2026-08-20,https://www.latimes.com/espanol/eeuu/articulo/2026-08-20/walmart-mantiene-expectativas-cautelosas-tras-obtener-el-menor-crecimiento-de-ventas-en-6-anos,es,2026-08-20,
Premier de Manitoba arremete contra Trump y pide a Canadá no ceder en acuerdo comercial,Los Angeles Times,latimes.com,latimes.com,2026-08-20,https://www.latimes.com/espanol/internacional/articulo/2026-08-20/premier-de-manitoba-arremete-contra-trump-y-pide-canada-no-ceder-en-acuerdo-comercial,es,2026-08-20,
South Korea military drills / Pivot to Asia? / USS Lincoln,NPR,npr.org,npr.org,2026-08-20,https://www.npr.org/2026/08/20/nx-s1-5937963/south-korea-military-drills-pivot-to-asia-uss-lincoln,en,2026-08-20,
NEWSLETTER: Trump's DC makeover advances as Iran agenda stalls,Reuters,reuters.com,reuters.com,2026-08-20,https://news.google.com/rss/articles/CBMilgFBVV95cUxNTDM2MUlpY2Zhc0xTLTg0VXM4T0s5Z0xiOVVqejAtRlJhTi12eTlZY3MyU0hKY0NjTFFvbHY3OTFuWDJwR0diRENXbkRKOU1jczhienF2bnRRZW9xRnd1QXltd1VvZ1FKUjN6TmdqR2ZVcTN6RnJManJpXzA1TWFnZ3JyY3ROZ3lHeEhGZS1iRzNqRVVIUWc?oc=5,en,2026-08-20,
Navy may name new aircraft carrier after Trump and not WWII hero,USA Today,usatoday.com,usatoday.com,2026-08-20,https://www.usatoday.com/story/news/politics/2026/08/20/navy-trump-aircraft-carrier-doris-miller-rename/91396754007/,en,2026-08-20,
